filename,amount,date,store_branch,condition
receipt_01.jpg,50.0,2026-05-10,7-Eleven Neribros Inc. Store#2006,fresh
receipt_02.jpg,203.0,2026-05-10,7-Eleven Neribros Inc. Store#2006,fresh
receipt_03.jpg,44.0,2026-05-10,7-Eleven Neribros Inc. Store#2006,fresh
receipt_04.jpg,24.0,2026-05-11,7-Eleven Rhainella Store#2423,fresh
receipt_05.jpg,1300.0,2026-05-10,7-Connect Kiosk,fresh
receipt_06.jpg,2000.0,2026-05-11,7-Eleven Rhainella Store#2423,fresh
receipt_07.jpg,11.0,2026-05-11,7-Eleven Rhainella Store#2423,fresh
receipt_08.jpg,73.0,2026-05-11,7-Eleven Rhainella Store#2423,fresh
receipt_09.jpg,10.0,2026-05-11,7-Eleven Rhainella Store#2423,faded
receipt_10.jpg,81.0,2026-05-11,7-Eleven Rhainella Store#2423,faded
receipt_11.jpg,59.0,2026-05-10,7-Eleven Avida Towers Store#4245,faded
receipt_12.jpg,7.0,2026-05-11,7-Eleven Rhainella Store#2423,faded
receipt_13.jpg,22.0,2026-05-11,7-Eleven Rhainella Store#2423,faded
receipt_14.jpg,8.0,2026-05-10,7-Eleven JR Borja St. Store#2061,faded
receipt_15.jpg,38.0,2026-05-10,7-Eleven Avida Towers Store#4245,withered
receipt_16.jpg,50.0,2026-05-10,7-Eleven Avida Towers Store#4245,withered
receipt_17.jpg,59.0,2026-05-10,7-Eleven Avida Towers Store#4245,withered
